City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
40,ar rutbah,33.0381,40.2848,23.06,39,14,3.63,IQ,1698084450
41,camana,-16.6228,-72.7111,21.1,84,80,4.9,PE,1698084586
42,lihue,21.9789,-159.3672,25.58,88,40,7.2,US,1698084481
43,bilibino,68.0546,166.4372,-14.24,95,98,0.77,RU,1698084473
44,pundong,-7.9522,110.3486,24.12,90,18,0.15,ID,1698084588
45,mangrol,21.1167,70.1167,27.8,65,84,3.74,IN,1698084589
46,thief river falls,48.1191,-96.1812,13.53,71,100,6.69,US,1698084590
47,aykhal,66.0,111.5,-14.21,100,98,1.87,RU,1698084471
48,lodja,-3.4833,23.4333,20.01,99,100,1.27,CD,1698084443
49,howrah,22.5892,88.3103,25.0,88,75,2.06,IN,1698084591
50,leua,48.2156,18.6071,16.39,65,97,2.52,SK,1698084498
51,fale old settlement,-9.3852,-171.2468,27.7,76,59,4.7,TK,1698084502
52,bangar,16.8936,120.4243,25.69,86,99,1.21,PH,1698084593
53,'alaqahdari dishu,30.4374,63.313,23.83,21,0,2.79,AF,1698084594
54,pyay,18.8167,95.2167,23.88,95,95,1.56,MM,1698084594
55,bredasdorp,-34.5322,20.0403,15.41,79,3,6.75,ZA,1698084455
56,stornoway,58.2093,-6.3865,7.98,84,0,1.54,GB,1698084596
57,wailua homesteads,22.0669,-159.378,25.24,89,40,7.2,US,1698084532
58,port mathurin,-19.6833,63.4167,24.82,81,10,7.41,MU,1698084422
59,thompson,55.7435,-97.8558,-0.32,32,55,5.36,CA,1698084379
60,hawaiian paradise park,19.5933,-154.9731,26.13,79,75,2.06,US,1698084471
61,xining,36.6167,101.7667,6.93,42,52,0.76,CN,1698084599
62,stanley,54.868,-1.6985,9.74,93,100,2.06,GB,1698084485
63,urangan,-25.3,152.9,22.13,76,0,4.77,AU,1698084600
64,luderitz,-26.6481,15.1594,16.24,92,5,6.47,NA,1698084601
65,punta arenas,-53.15,-70.9167,12.72,56,32,4.64,CL,1698084526
66,guerrero negro,27.9769,-114.0611,21.68,61,27,8.65,MX,1698084602
67,constantia,44.1833,28.65,19.38,61,57,2.79,RO,1698084422
68,lorengau,-2.0226,147.2712,26.63,83,86,2.43,PG,1698084604
69,tarko-sale,64.9225,77.785,-2.32,90,92,6.49,RU,1698084604
70,lauro de freitas,-12.8944,-38.3272,26.01,83,75,5.14,BR,1698084422
71,hadibu,12.65,54.0333,27.12,81,98,3.13,YE,1698084425
72,mariehamn,60.0973,19.9348,4.9,93,0,1.54,AX,1698084606
73,karratha,-20.7377,116.8463,29.41,20,0,5.61,AU,1698084607
74,el chorrillo,-33.2909,-66.268,15.37,88,98,6.46,AR,1698084607
75,wamba,8.9333,8.6,25.37,81,92,0.74,NG,1698084608
76,sitka,57.0531,-135.33,0.94,34,20,1.54,US,1698084609
77,sambava,-14.2667,50.1667,23.37,82,1,0.84,MG,1698084609
78,jiagedaqi,50.4167,124.1167,2.62,70,0,1.78,CN,1698084612
79,kapuskasing,49.4169,-82.4331,8.88,60,81,3.95,CA,1698084482
80,waitangi,-43.9535,-176.5597,8.79,77,19,5.37,NZ,1698084427
81,tidjikja,18.5564,-11.4271,32.08,26,86,0.61,MR,1698084614
82,guarapari,-20.6667,-40.4975,26.05,75,77,6.42,BR,1698084340
83,nar'yan-mar,67.6713,53.087,-5.67,86,68,3.91,RU,1698084615
84,enewetak,11.3474,162.3373,28.68,76,93,5.62,MH,1698084616
85,alaghsas,17.0187,8.0168,31.9,11,15,4.82,NE,1698084349
86,fisterra,42.9049,-9.2629,15.01,67,4,5.37,ES,1698084336
87,nantucket,41.2835,-70.0995,16.08,76,75,7.2,US,1698084619
88,saipan,15.1355,145.701,28.39,78,20,5.66,MP,1698084619
89,mount isa,-20.7333,139.5,16.87,36,0,0.0,AU,1698084442
90,utrik,11.2278,169.8474,27.88,75,100,6.21,MH,1698084621
91,stephenville,32.2207,-98.2023,25.65,67,0,5.14,US,1698084622
92,iquitos,-3.7481,-73.2472,32.02,70,75,2.57,PE,1698084394
93,puerto natales,-51.7236,-72.4875,16.25,41,0,3.6,CL,1698084433
94,bamusso,4.4591,8.9027,26.2,88,100,2.3,CM,1698084624
95,dudinka,69.4058,86.1778,-3.54,94,85,1.89,RU,1698084625
96,qaqortoq,60.7167,-46.0333,3.67,63,18,1.35,GL,1698084484
97,hamilton,39.1834,-84.5333,18.88,50,0,3.6,US,1698084453
98,nusaybin,37.0778,41.2178,22.83,32,18,0.9,TR,1698084627
99,eyl,7.9803,49.8164,27.92,79,38,5.72,SO,1698084628
100,naze,28.3667,129.4833,21.4,66,31,2.93,JP,1698084629
101,yuzhno-kurilsk,44.0306,145.8556,8.69,65,52,1.19,RU,1698084630
102,papatowai,-46.5619,169.4708,9.11,86,99,2.0,NZ,1698084475
103,mount gambier,-37.8333,140.7667,19.49,23,67,8.7,AU,1698084500
104,puerto baquerizo moreno,-0.9,-89.6,28.55,70,20,6.69,EC,1698084632
105,belmonte,-15.8631,-38.8828,25.33,66,67,3.48,BR,1698084633
106,bubaque,11.2833,-15.8333,29.55,71,69,2.41,GW,1698084634
107,zeya,53.75,127.2667,-0.97,77,58,1.36,RU,1698084635
108,nesebar,42.7833,27.7333,16.49,64,22,0.32,BG,1698084636
109,newman,37.3138,-121.0208,20.02,49,52,2.24,US,1698084637
110,atafu village,-8.5421,-172.5159,28.44,72,83,4.23,TK,1698084441
111,longyearbyen,78.2186,15.6401,-6.09,79,75,2.06,SJ,1698084516
112,belidzhi,41.8918,48.4125,15.17,91,20,0.42,RU,1698084641
113,palikir - national government center,6.9248,158.1611,24.41,94,40,0.0,FM,1698084531
114,cabo san lucas,22.8909,-109.9124,31.45,63,10,4.47,MX,1698084186
115,ostrach,47.95,9.3833,12.7,97,99,2.36,DE,1698084644
116,tanout,14.9709,8.8879,31.6,11,1,4.67,NE,1698084645
117,xinzhou,38.4092,112.7333,12.01,37,0,1.45,CN,1698084645
118,jhanjharpur,26.2667,86.2833,22.24,69,23,1.93,IN,1698084646
119,rustaq,23.3908,57.4244,27.76,49,65,1.24,OM,1698084647
120,kerman,30.2832,57.0788,17.53,29,1,2.88,IR,1698084609
121,san juan,-31.5375,-68.5364,26.96,34,58,5.08,AR,1698084648
122,bontang,0.1333,117.5,26.09,82,6,1.19,ID,1698084649
123,baiti,13.745,-14.7482,31.64,53,95,2.56,SN,1698084651
124,hudson,40.7168,-74.0663,17.4,52,0,5.14,US,1698084652
125,severo-yeniseyskiy,60.3725,93.0408,-1.14,92,100,7.74,RU,1698084653
126,nuku'alofa,-21.1333,-175.2,22.19,64,75,4.63,TO,1698084653
127,dergachi,51.2328,48.7659,9.57,66,95,8.28,RU,1698084654
128,kamianka,49.0318,32.104,14.43,67,89,5.2,UA,1698084655
129,hithadhoo,-0.6,73.0833,27.01,76,94,3.84,MV,1698084478
130,tralee,52.2704,-9.7026,9.92,95,93,3.43,IE,1698084657
131,i-n-salah,27.1935,2.4607,33.81,12,58,2.08,DZ,1698084658
132,galliano,29.4422,-90.2992,30.0,51,0,2.57,US,1698084659
133,novaya igirma,57.1334,103.9112,4.88,82,100,3.68,RU,1698084660
134,aleg,17.0481,-13.9209,34.55,26,24,3.21,MR,1698084661
135,san carlos,9.6612,-68.5827,31.64,57,98,2.46,VE,1698084662
136,vorgashor,67.5833,63.95,-7.1,96,98,3.48,RU,1698084479
137,miguelopolis,-20.1794,-48.0319,36.91,20,54,1.71,BR,1698084663
138,coahuayana de hidalgo,18.7,-103.6583,30.76,59,43,2.08,MX,1698084664
139,nha trang,12.25,109.1833,25.0,92,95,2.13,VN,1698084665
140,ponta delgada,37.7333,-25.6667,21.22,77,40,10.29,PT,1698084665
141,jamestown,42.097,-79.2353,13.34,56,0,2.06,US,1698084458
142,dzuunharaa,48.8523,106.4579,5.58,57,54,2.71,MN,1698084667
143,moose jaw,50.4001,-105.5344,-0.85,100,100,4.63,CA,1698084668
144,gryazovets,58.88,40.2525,-0.85,94,100,2.6,RU,1698084668
145,kuanda,56.3161,116.0806,-3.15,82,20,0.61,RU,1698084669
146,afaahiti,-17.75,-149.2833,27.93,85,39,5.09,PF,1698084670
147,dong ha,16.8163,107.1003,23.25,94,100,2.08,VN,1698084670
148,pijijiapan,15.7011,-93.23,31.12,65,88,2.25,MX,1698084671
149,al wakrah,24.85,51.3333,28.14,56,0,3.74,QA,1698084672
150,crane,31.3974,-102.3501,19.06,89,100,6.32,US,1698084673
